date,push_time,log_file,name,code,cnt,cnt_max,premium_rt
2026-04-24,,cb_noredeem_20260424_1600.log,超达转债,123187,11,15,-0.42
2026-04-24,,cb_noredeem_20260424_1600.log,华特转债,118033,4,15,-0.33
2026-04-24,,cb_noredeem_20260424_1600.log,博瑞转债,118004,14,15,1.93
2026-04-24,,cb_noredeem_20260424_1600.log,翔丰转债,123225,3,15,1.95
2026-04-24,,cb_noredeem_20260424_2200.log,盈峰转债,127024,11,15,-1.09
2026-04-24,,cb_noredeem_20260424_2200.log,超达转债,123187,11,15,-0.42
2026-04-24,,cb_noredeem_20260424_2200.log,华特转债,118033,4,15,-0.33
2026-04-24,,cb_noredeem_20260424_2200.log,博瑞转债,118004,14,15,1.93
2026-04-24,,cb_noredeem_20260424_2200.log,翔丰转债,123225,3,15,1.95
2026-04-25,,cb_noredeem_20260425_0100.log,盈峰转债,127024,11,15,-1.09
2026-04-25,,cb_noredeem_20260425_0100.log,超达转债,123187,11,15,-0.42
2026-04-25,,cb_noredeem_20260425_0100.log,华特转债,118033,4,15,-0.33
2026-04-25,,cb_noredeem_20260425_0100.log,博瑞转债,118004,14,15,1.93
2026-04-25,,cb_noredeem_20260425_0100.log,翔丰转债,123225,3,15,1.95
2026-04-25,,cb_noredeem_20260425_0800.log,盈峰转债,127024,11,15,-1.09
2026-04-25,,cb_noredeem_20260425_0800.log,超达转债,123187,11,15,-0.42
2026-04-25,,cb_noredeem_20260425_0800.log,华特转债,118033,4,15,-0.33
2026-04-25,,cb_noredeem_20260425_0800.log,博瑞转债,118004,14,15,1.93
2026-04-25,,cb_noredeem_20260425_0800.log,翔丰转债,123225,3,15,1.95
2026-04-25,,cb_noredeem_20260425_1030.log,盈峰转债,127024,11,15,-1.09
2026-04-25,,cb_noredeem_20260425_1030.log,超达转债,123187,11,15,-0.42
2026-04-25,,cb_noredeem_20260425_1030.log,华特转债,118033,4,15,-0.33
2026-04-25,,cb_noredeem_20260425_1030.log,博瑞转债,118004,14,15,1.93
2026-04-25,,cb_noredeem_20260425_1030.log,翔丰转债,123225,3,15,1.95
2026-04-25,,cb_noredeem_20260425_1200.log,盈峰转债,127024,11,15,-1.09
2026-04-25,,cb_noredeem_20260425_1200.log,超达转债,123187,11,15,-0.42
2026-04-25,,cb_noredeem_20260425_1200.log,华特转债,118033,4,15,-0.33
2026-04-25,,cb_noredeem_20260425_1200.log,博瑞转债,118004,14,15,1.93
2026-04-25,,cb_noredeem_20260425_1200.log,翔丰转债,123225,3,15,1.95
2026-04-25,,cb_noredeem_20260425_1400.log,盈峰转债,127024,11,15,-1.09
2026-04-25,,cb_noredeem_20260425_1400.log,超达转债,123187,11,15,-0.42
2026-04-25,,cb_noredeem_20260425_1400.log,华特转债,118033,4,15,-0.33
2026-04-25,,cb_noredeem_20260425_1400.log,博瑞转债,118004,14,15,1.93
2026-04-25,,cb_noredeem_20260425_1400.log,翔丰转债,123225,3,15,1.95
2026-04-25,,cb_noredeem_20260425_1600.log,盈峰转债,127024,11,15,-1.09
2026-04-25,,cb_noredeem_20260425_1600.log,超达转债,123187,11,15,-0.42
2026-04-25,,cb_noredeem_20260425_1600.log,华特转债,118033,4,15,-0.33
2026-04-25,,cb_noredeem_20260425_1600.log,博瑞转债,118004,14,15,1.93
2026-04-25,,cb_noredeem_20260425_1600.log,翔丰转债,123225,3,15,1.95
2026-04-25,,cb_noredeem_20260425_2200.log,盈峰转债,127024,11,15,-1.09
2026-04-25,,cb_noredeem_20260425_2200.log,超达转债,123187,11,15,-0.42
